breach_id,breach_location_id,scenario_id,scenario_name,return_period,discharge_m3s,breach_name,dijkring,river,damage_MEUR,victims,affected,model_resolution,initial_breach_width,max_breach_width,breach_growth_method,scenario_layer,map_id,id,breachtypes_id,dijkringareas_id,openwaters_id,name,code,x,y,notify,lt30,f30t300,f300t3000,f3000t30k,gt30k,dreigende_overstroming,geometry_type,geometry_x,geometry_y
381,381,21069,tp Bemmel,1250,,BemmelARK,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Waal,37000,1692,349056,"100,0","-999,0", , ,scenario_21069,26697,381,2,46.0,107,BemmelARK,PRIM,190563,433192,,0,1,1,1,0,0.0,Point,190563,433192
381,381,19054,tp+1d Bemmel,12500,,BemmelARK,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Waal,40000,1944,355875,"100,0","-999,0", ,vast,scenario_19054,26553,381,2,46.0,107,BemmelARK,PRIM,190563,433192,,0,1,1,1,0,0.0,Point,190563,433192
382,382,13514,Sliedrecht_AW063_TP-1D_O_1e_top_Uc02,200,,Beneden Merwede km 968.2 (dkr16 AW063),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,12000,1098,133073,"100,0","10,0","76,0",automatisch,scenario_13514,24557,382,2,17.0,10,Beneden Merwede km 968.2 (dkr16 AW063),PRIM,113363,425590,,0,1,2,1,0,0.0,Point,113363,425590
382,382,13518,Sliedrecht_AW063_TP_G_Uc02,2000,,Beneden Merwede km 968.2 (dkr16 AW063),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,8400,862,117650,"100,0","10,0","73,0",automatisch,scenario_13518,24564,382,2,17.0,10,Beneden Merwede km 968.2 (dkr16 AW063),PRIM,113363,425590,,0,1,2,1,0,0.0,Point,113363,425590
382,382,13516,Sliedrecht_AW063_TP_O_1e_top_Uc02,2000,,Beneden Merwede km 968.2 (dkr16 AW063),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,13000,1508,134484,"100,0","10,0","86,0",automatisch,scenario_13516,24571,382,2,17.0,10,Beneden Merwede km 968.2 (dkr16 AW063),PRIM,113363,425590,,0,1,2,1,0,0.0,Point,113363,425590
382,382,19726,Sliedrecht_AW063_tpp1d_QBR11500_MM300_G_nw23_PZH2019,20000,,Beneden Merwede km 968.2 (dkr16 AW063),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,6500,618,95070,"100,0","10,0","63,0",automatisch,scenario_19726,24583,382,2,17.0,10,Beneden Merwede km 968.2 (dkr16 AW063),PRIM,113363,425590,,0,1,2,1,0,0.0,Point,113363,425590
383,383,13523,Sliedrecht_AW079_TP-1D_G_Uc02,200,,Beneden Merwede km 971.2 (dkr16 AW079),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,1500,86,33377,"100,0","10,0","21,0",automatisch,scenario_13523,24590,383,2,17.0,10,Beneden Merwede km 971.2 (dkr16 AW079),PRIM,110646,426437,,0,2,2,1,0,0.0,Point,110646,426437
383,383,13522,Sliedrecht_AW079_TP-1D_O_Uc02,200,,Beneden Merwede km 971.2 (dkr16 AW079),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,2500,171,50945,"100,0","10,0","23,0",automatisch,scenario_13522,24597,383,2,17.0,10,Beneden Merwede km 971.2 (dkr16 AW079),PRIM,110646,426437,,0,2,2,1,0,0.0,Point,110646,426437
383,383,13525,Sliedrecht_AW079_TP_G_Uc02,2000,,Beneden Merwede km 971.2 (dkr16 AW079),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,1900,119,41505,"100,0","10,0","24,0",automatisch,scenario_13525,24604,383,2,17.0,10,Beneden Merwede km 971.2 (dkr16 AW079),PRIM,110646,426437,,0,2,2,1,0,0.0,Point,110646,426437
383,383,13524,Sliedrecht_AW079_TP_O_Uc02,2000,,Beneden Merwede km 971.2 (dkr16 AW079),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,3100,227,57022,"100,0","10,0","27,0",automatisch,scenario_13524,24616,383,2,17.0,10,Beneden Merwede km 971.2 (dkr16 AW079),PRIM,110646,426437,,0,2,2,1,0,0.0,Point,110646,426437
383,383,13526,Sliedrecht_AW079_TPplus1D_G_Uc02,20000,,Beneden Merwede km 971.2 (dkr16 AW079),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,2300,165,48631,"100,0","10,0","27,0",automatisch,scenario_13526,24623,383,2,17.0,10,Beneden Merwede km 971.2 (dkr16 AW079),PRIM,110646,426437,,0,2,2,1,0,0.0,Point,110646,426437
384,384,13529,Papendrecht_AW080_TP-1D_G_Uc02,200,,Beneden Merwede km 971.4 (dkr16 AW080),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,2900,171,55941,"100,0","10,0","40,0",automatisch,scenario_13529,23489,384,2,17.0,10,Beneden Merwede km 971.4 (dkr16 AW080),PRIM,110464,426412,,0,2,2,1,0,0.0,Point,110464,426412
384,384,13528,Papendrecht_AW080_TP-1D_O_Uc02,200,,Beneden Merwede km 971.4 (dkr16 AW080),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,3300,207,57430,"100,0","10,0","48,0",automatisch,scenario_13528,23503,384,2,17.0,10,Beneden Merwede km 971.4 (dkr16 AW080),PRIM,110464,426412,,0,2,2,1,0,0.0,Point,110464,426412
384,384,13531,Papendrecht_AW080_TP_G_Uc02,2000,,Beneden Merwede km 971.4 (dkr16 AW080),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,3000,183,56259,"100,0","10,0","45,0",automatisch,scenario_13531,23510,384,2,17.0,10,Beneden Merwede km 971.4 (dkr16 AW080),PRIM,110464,426412,,0,2,2,1,0,0.0,Point,110464,426412
384,384,13530,Papendrecht_AW080_TP_O_Uc02,2000,,Beneden Merwede km 971.4 (dkr16 AW080),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,4000,272,65475,"100,0","10,0","55,0",automatisch,scenario_13530,23524,384,2,17.0,10,Beneden Merwede km 971.4 (dkr16 AW080),PRIM,110464,426412,,0,2,2,1,0,0.0,Point,110464,426412
384,384,13532,Papendrecht_AW080_TPplus1D_G_Uc02,20000,,Beneden Merwede km 971.4 (dkr16 AW080),Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Beneden Merwede,3100,202,57151,"100,0","10,0","51,0",automatisch,scenario_13532,23531,384,2,17.0,10,Beneden Merwede km 971.4 (dkr16 AW080),PRIM,110464,426412,,0,2,2,1,0,0.0,Point,110464,426412
385,385,12488,38_Doel 1/400 standaard,400,,BeOost - 13,Dijkring 32 - Zeeuwsch Vlaanderen,Westerschelde,11,0,52,"25,0","10,0", , ,scenario_12488,3407,385,2,33.0,112,BeOost - 13,PRIM,76554,370229,,0,0,1,1,1,0.0,Point,76554,370229
