breach_id,return_period,log_damage
1175,100,3.6888794541139363
1176,100,4.1588830833596715
1177,100,6.825460036255307
1178,100,7.00397413672268
1179,100,4.276666119016055
1180,100,3.9318256327243257
1181,100,4.394449154672439
1182,100,4.31748811353631
1183,10000,7.0909098220799835
1184,10000,8.071218539969863
1185,10000,7.0909098220799835
1188,200,3.784189633918261
1188,2000,4.330733340286331
1188,20000,5.25227342804663
1188,200000,5.564520407322694
1189,400,5.602118820879701
1189,4000,7.00397413672268
1189,40000,7.3783837129967145
1189,400000,7.783640596221253
1207,1000,3.912023005428146
1207,10000,4.060443010546419
1207,100000,4.143134726391533
1207,1000000,4.2626798770413155
1215,125,4.418840607796598
1215,1250,4.605170185988092
1215,12500,4.709530201312334
1216,125,4.61512051684126
1216,1250,4.709530201312334
1216,12500,5.017279836814924
1218,125,9.392745258631441
1218,1250,9.392745258631441
1218,12500,9.472781556562168
1229,1250,10.085850775128717
1229,12500,10.34177474101152
1230,10000,9.210440366976517
1230,100000,9.852246888342531
1245,400,6.154858094016418
1245,4000,6.236369590203704
1245,40000,6.293419278846481
1245,400000,6.825460036255307
1246,200,7.650168700845001
1246,2000,8.412054873292933
1246,20000,8.497194544909547
1247,125,9.798182590890704
1247,1250,9.952325334619427
1247,12500,9.99884318585288
1250,400,5.351858133476067
1250,4000,5.484796933490655
1250,40000,5.5254529391317835
1250,400000,5.602118820879701
1269,200,3.8918202981106265
1269,2000,4.394449154672439
1269,20000,4.709530201312334
1269,200000,4.875197323201151
1283,2000,7.0909098220799835
1283,40000,7.496097345175956
1284,2000,7.937731775260109
1284,10000,8.071218539969863
1519,125,5.351858133476067
1519,1250,5.942799375126701
1519,12500,7.00397413672268
1522,125,9.99884318585288
1522,1250,10.491301994830229
1522,2000,10.545367754151743
1523,125,6.508769136971682
1523,1250,8.131824785007195
1523,12500,8.987321812850125
1524,1000,9.071193240566025
1524,10000,9.392745258631441
1524,100000,9.61587214452889
1524,1000000,9.90353755128617
1525,1000,6.710523109452428
1525,10000,6.85751406254539
1525,100000,7.313886831633462
1525,1000000,7.601402334583733
1526,125,8.748463629942055
1526,1250,9.680406499268875
1526,12500,10.239995502805316
1528,2000,7.438971592395862
1528,20000,8.412054873292933
1529,125,7.438971592395862
1529,1250,7.601402334583733
1529,12500,7.741099090035366
1546,125,9.392745258631441
1546,1250,9.741027444837728
1546,12500,9.852246888342531
1547,10000,8.556606193773073
1547,100000,9.082620630373812
1547,1000000,9.546884034617925
1548,200,5.14166355650266
1548,2000,5.484796933490655
1548,20000,5.860786223465865
1548,200000,5.942799375126701
1549,200,5.802118375377063
1549,2000,5.942799375126701
1549,20000,6.066108090103747
1549,200000,6.133398042996649
1550,200,2.4849066497880004
1550,2000,4.204692619390966
1550,10000,4.61512051684126
1568,1000,6.7226297948554485
1568,10000,6.90875477931522
1568,100000,7.0909098220799835
1568,1000000,7.244941546337007
1600,125,8.748463629942055
1600,1250,9.798182590890704
1600,12500,10.34177474101152
1601,4000,4.290459441148391
1601,40000,4.948759890378168
1629,200,3.784189633918261
1629,2000,4.51085950651685
1629,20000,5.198497031265826
1629,200000,5.771441123130016
1630,1250,2.4849066497880004
1637,200,3.9889840465642745
1637,2000,4.07753744390572
1637,10000,4.0943445622221
1642,125,7.8636512654486515
1642,1250,8.131824785007195
1642,12500,8.294299608857235
1675,200,9.210440366976517
1675,2000,9.680406499268875
1676,200,8.188966863648876
1676,2000,9.137877200242468
1677,200,9.90353755128617
1677,2000,10.275085591132715
