breach_id,geometry_x,geometry_y,river,dijkring,breach_name,initial_breach_width,breach_growth_method
747,112325,567825,Noordzee,Dijkring 05 - Texel,DUINEN TEXEL_21,"10,0", 
748,116865,571803,Noordzee,Dijkring 05 - Texel,DUINEN TEXEL_28,"10,0", 
750,128242,487956,Markermeer,Dijkring 13 - Noord-Holland,DURGERDAMMERDIJK_0.5,"10,0", 
751,123242,415020,Bergsche Maas,Dijkring 24 - Land van Altena,Dussen,"10,0",vast
762,160365,443549,Nederrijn,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",EckEnWielARK,"-999,0",vast
763,211738,463645,IJssel,Dijkring 50 - Zutphen,Eefdensebrug-zuid,"-999,0",vast
766,149869,472674,Eem,Dijkring 45 - Gelderse Vallei,Eemdijk,"50,0",vast
767,87400,432300,Nieuwe Maas,Dijkring 17 - IJsselmonde,"Eemhaven (dkr17 km 27,2)","10,0",automatisch
770,276511,584425,Noordzee / Waddenzee,Dijkring 06 - Friesland en Groningen,Eems,"-999,0",automatisch
847,120940,574586,Waddenzee,Dijkring 05 - Texel,EIJERLANDSE ZEEDIJK_1,"10,0", 
848,188647,442296,Nederrijn,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",EldenARK,"-999,0",vast
910,208654,428838,Boven Rijn,Dijkring 48 - Rijn en IJssel,Emmerich,"-999,0", 
911,211878,426598,Boven Rijn,Dijkring 42 - Ooij en Millingen,EmmericherEyerland,"-999,0", 
912,219769,420435,Boven Rijn,Dijkring 42 - Ooij en Millingen,Entenbusch,"-999,0", 
934,156542,560342,IJsselmeer,Dijkring 06 - Friesland en Groningen,Gaast,"-999,0", 
935,191725,510525,IJssel,Dijkring 10 - Mastenbroek,GDGS,"20,0",vast
940,116729,413500,Bergsche Maas,Dijkring 34a - Geertruidenberg,Geertruidenberg,"-999,0",automatisch
961,71650,441400,Nieuwe Waterweg,Dijkring 14 - Zuid-Holland,Gemaal_Westland,"10,0",automatisch
962,71495,441425,Nieuwe Maas,Dijkring 14 - Zuid-Holland,Gemaal_Westland (dp D188),"10,0",automatisch
963,207795,445963,IJssel,Dijkring 48 - Rijn en IJssel,gemaalBevermeer,"-9999,0",vast
964,204500,476500,IJssel,Dijkring 52 - Oost Veluwe,GemaalTerwolde,"-9999,0",vast
965,134575,415900,Bergsche Maas,Dijkring 24 - Land van Altena,Genderen,"10,0",vast
966,199466,515958,Zwarte Water,Dijkring 10 - Mastenbroek,Genemuiden,"20,0",vast
974,153100,418450,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Gewande,"12,0", 
975,200949,444865,IJssel,Dijkring 48 - Rijn en IJssel,Giesbeek,"-9999,0",vast
976,194925,512425,Zwarte Meer,Dijkring 10 - Mastenbroek,GOGS,"20,0",vast
978,147362,481407,Markermeer/Eemmeer/Gooimeer,Dijkring 08 - Flevoland,GOOIMEERDIJK_15.5,"-999,0", 
979,210108,469779,IJssel,Dijkring 51 - Gorssel,Gorssel-noord,"-9999,0",vast
980,109300,446735,Hollandsche IJssel,Dijkring 14 - Zuid-Holland,Gouda oost,"0,0",automatisch
981,107600,445690,Hollandsche IJssel,Dijkring 14 - Zuid-Holland,Gouda west,"10,0",automatisch
982,107020,445650,Hollandsche IJssel,Dijkring 14 - Zuid-Holland,"Gouda, Sluisdijk km 0,7","10,0",automatisch
983,48652,417713,Grevelingen,Dijkring 26 - Schouwen Duivenland,"GR 1,5 KM","10,0",automatisch
985,57424,415345,Grevelingen,Dijkring 26 - Schouwen Duivenland,GR 13 KM,"10,0",automatisch
986,59322,413944,Grevelingen,Dijkring 26 - Schouwen Duivenland,"GR 15,5 KM","10,0",automatisch
987,61691,411448,Grevelingen,Dijkring 26 - Schouwen Duivenland,"GR 19,5 KM","10,0",automatisch
988,51872,417867,Grevelingen,Dijkring 26 - Schouwen Duivenland,GR 5 KM,"10,0",automatisch
990,204189,431766,Boven Rijn,Dijkring 48 - Rijn en IJssel,Gravenwaardsedam,"-9999,0",vast
991,172000,440300,Nederrijn,Dijkring 45 - Gelderse Vallei,Grebbedijk,"10,0",automatisch
992,70299,411996,Grevelingenmeer,Dijkring 25 - Goeree-Overflakkee,Grevelingen (dkr25 km 46.6),"10,0",automatisch
993,65208,414116,Grevelingenmeer,Dijkring 25 - Goeree-Overflakkee,"Grevelingenmeer (dkr25 km 52,4)","10,0",automatisch
1067,143036,424846,Waal,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Haaften,"-999,0",vast
1068,111640,488760,Noordzeekanaal,Dijkring 44 - Kromme Rijn,Halfweg,"50,0", 
1081,87702,415294,Haringvliet,Dijkring 21 - Hoekse Waard,"Haringvliet km 1000 (Dkr21 km 42,0)","10,0",automatisch
1082,86617,415804,Haringvliet,Dijkring 21 - Hoekse Waard,"Haringvliet km 1001 (Dkr21 km 43,2)","10,0",automatisch
1083,80639,413878,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1006 (dkr25 km 25,0)","10,0",automatisch
1084,79412,414856,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1007,8 (dkr25 km 23,4)","10,0",automatisch
1085,77369,415690,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1009,2 (dkr25 km 21,0)","10,0",automatisch
1086,76502,416802,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1010,2 (dkr25 km 19,4)","10,0",automatisch
1087,75726,418161,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1011,6 (dkr25 km 17,8)","10,0",automatisch
1088,73178,420378,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1015,6 (dkr25 km 14,4)","10,0",automatisch
1089,72149,421070,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1017,5 (dkr25 km 12,8)","10,0",automatisch
1090,73718,424751,Haringvliet,Dijkring 20 - Voorne-Putten,"Haringvliet km 1018 (dkr20 km 11,0)","10,0",automatisch
1091,70233,421981,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1020 (dkr25 km 10,4)","10,0",automatisch
1092,70975,425974,Haringvliet,Dijkring 20 - Voorne-Putten,"Haringvliet km 1021,6 (dkr20 km 7,4)","10,0",automatisch
1093,70415,426767,Haringvliet,Dijkring 20 - Voorne-Putten,"Haringvliet km 1022,5 (dkr20 km 6,3)","10,0",automatisch
1094,68577,426780,Haringvliet,Dijkring 20 - Voorne-Putten,"Haringvliet km 1024 (dkr20 km 4,35 schutsluis)","10,0",vast
1095,65393,424857,Haringvliet,Dijkring 25 - Goeree-Overflakkee,"Haringvliet km 1026 (dkr25 km 4,6)","10,0",automatisch
