source,target,distance_km,same_river,same_dijkring
17,151,13.310240418564948,1,0
18,585,2.0321048201310874,1,1
18,584,2.7204058520742818,1,1
18,583,4.88009272452891,1,1
18,582,6.679498559023724,1,1
18,581,8.596704601182944,1,1
19,180,6.9839024191350205,1,1
19,587,7.986270531355672,1,0
19,28,10.275455658996345,1,0
19,453,12.304526687361852,1,1
19,249,12.842207364779624,1,0
20,245,2.2451031156719727,1,1
20,469,6.223478448584842,1,0
20,81,6.481408797476055,1,0
20,427,8.417206187328429,1,0
20,468,8.638744931990988,1,0
21,152,3.106444913401813,0,1
21,15,3.1216511656493586,0,0
21,231,4.431405758898636,1,1
21,155,7.836196271150947,1,0
21,119,8.09680257879615,0,0
22,208,1.012381351072806,0,0
22,16,2.185668090081383,0,0
22,149,2.35606897182574,1,1
22,239,4.446482317517972,0,0
22,606,4.687663490482225,0,0
23,434,9.315251204342264,1,1
23,459,13.942588927455333,1,1
23,174,14.732043340962583,1,0
23,460,16.05838737233599,1,1
23,467,17.92703224184081,1,1
24,223,0.9677034669773588,1,1
24,496,2.4077292206558445,1,0
24,25,3.3102604127168003,1,1
24,520,4.112792238856711,0,0
24,26,4.7193976310542,1,1
25,496,1.7921182996666265,1,0
25,26,2.163850734223597,1,1
25,24,3.3102604127168003,1,1
25,497,3.606841970477775,1,0
25,223,4.277442460162381,1,1
26,497,1.4860918544962152,1,0
26,25,2.163850734223597,1,1
26,496,2.357290393651151,1,0
26,24,4.7193976310542,1,1
26,223,5.604507471669567,1,1
27,520,6.059855196289759,0,0
27,119,8.088845962187683,1,0
27,223,8.358567161900417,0,0
27,24,9.301794719300142,0,0
27,15,9.76766978352565,0,0
28,249,2.6635474465456777,1,1
28,587,2.8609875917242285,1,1
28,180,3.2978053308223028,1,0
28,453,3.69157987858857,1,0
28,92,7.0998436602505555,1,1
29,261,1.4877126738722097,0,1
29,34,1.9367049336437392,1,1
29,232,2.130084740098384,0,0
29,141,3.1073596508933434,0,0
29,475,3.19465506745251,0,0
30,416,0.898306183881643,1,1
30,145,4.153375976239088,0,1
30,103,4.586586094253547,1,0
30,235,4.860608706736225,0,0
30,411,5.611837577834911,0,1
31,188,3.5301410736683034,1,1
31,246,3.9775763977578102,1,0
31,441,4.460100895719737,1,0
31,183,4.832732767286021,1,0
31,187,5.302855457204166,1,1
32,418,2.0146860797652817,0,0
32,364,2.058458160857296,0,1
32,365,2.2298950647956506,0,1
32,366,2.592236293241802,0,1
32,362,2.7671328121360568,0,1
33,356,1.0709042907748572,0,1
33,363,1.553418166496066,0,1
33,364,2.038252683059684,0,1
33,362,2.0671178002232966,0,1
33,481,2.855093168357208,0,0
34,261,0.9301747147713703,0,1
34,232,1.6938267325792211,0,0
34,29,1.9367049336437392,1,1
34,230,3.6140935239697383,0,0
34,141,4.516333247226116,0,0
35,166,1.0559190309867512,1,0
35,165,1.9333623561039974,1,0
35,252,1.9585795873540601,0,0
35,36,2.1977624985425517,0,1
35,251,2.9544447870962154,0,0
36,253,1.110819517293426,1,0
36,254,1.3417589202237485,1,0
36,251,2.194905009334117,1,0
36,35,2.1977624985425517,0,1
36,255,2.3153228716531093,1,0
37,402,4.16986390665211,1,1
37,82,5.586104546103662,1,0
37,63,5.726307710907614,1,0
37,75,5.829794164462412,0,1
37,100,6.4615961650353855,1,0
